iter	Passed	Remaining
855	4774	803
856	4778	797
857	4780	791
858	4786	785
859	4790	779
860	4794	774
861	4798	768
862	4806	763
863	4812	757
864	4814	751
865	4830	747
866	4838	742
867	4841	736
868	4849	731
869	4852	725
870	4855	719
871	4857	713
872	4863	707
873	4866	701
874	4869	695
875	4872	689
876	4877	684
877	4881	678
878	4895	673
879	4899	668
880	4903	662
881	4916	657
882	4919	651
883	4933	647
884	4946	642
885	4949	636
886	4959	631
887	4970	626
888	4975	621
889	4980	615
890	4991	610
891	5005	606
892	5008	600
893	5012	594
894	5020	588
895	5027	583
896	5035	578
897	5043	572
898	5050	567
899	5054	561
900	5058	555
901	5070	550
902	5073	544
903	5082	539
904	5086	533
905	5089	528
906	5104	523
907	5112	517
908	5115	512
909	5121	506
910	5137	501
911	5147	496
912	5151	490
913	5157	485
914	5165	479
915	5169	474
916	5183	469
917	5188	463
918	5195	457
919	5200	452
920	5203	446
921	5211	440
922	5213	434
923	5219	429
924	5229	423
925	5233	418
926	5251	413
927	5267	408
928	5285	403
929	5297	398
930	5301	392
931	5319	388
932	5326	382
933	5338	377
934	5343	371
935	5353	366
936	5357	360
937	5372	355
938	5377	349
939	5390	344
940	5394	338
941	5397	332
942	5405	326
943	5421	321
944	5425	315
945	5436	310
946	5441	304
947	5454	299
948	5458	293
949	5466	287
950	5470	281
951	5476	276
952	5479	270
953	5482	264
954	5484	258
955	5494	252
956	5498	247
957	5501	241
958	5507	235
959	5514	229
960	5518	223
961	5527	218
962	5531	212
963	5533	206
964	5547	201
965	5559	195
966	5562	189
967	5565	183
968	5573	178
969	5579	172
970	5584	166
971	5598	161
972	5606	155
973	5608	149
974	5612	143
975	5623	138
976	5627	132
977	5631	126
978	5641	121
979	5645	115
980	5656	109
981	5661	103
982	5673	98
983	5676	92
984	5686	86
985	5689	80
986	5692	74
987	5695	69
988	5701	63
989	5704	57
990	5711	51
991	5717	46
992	5720	40
993	5723	34
994	5726	28
995	5731	23
996	5735	17
997	5738	11
998	5741	5
999	5747	0
